device_id,user_id,device_type,capacity,max_power,efficiency,initial_state,param1,param2,param3,can_interrupt,priority
battery_10_1,user_10_1,battery,10.9,5.1,0.95,0.57,0.1,0.9,10900.0,1,3
battery_10_10,user_10_10,battery,10.6,5.2,0.95,0.58,0.1,0.9,10600.0,1,3
battery_10_11,user_10_11,battery,11.2,5.5,0.95,0.52,0.1,0.9,11200.0,1,3
battery_10_12,user_10_12,battery,10.9,5.7,0.94,0.54,0.1,0.9,10900.0,1,3
battery_10_2,user_10_2,battery,11.9,6.5,0.95,0.57,0.1,0.9,11900.0,1,3
battery_10_3,user_10_3,battery,9.5,5.2,0.94,0.54,0.1,0.9,9500.0,1,3
battery_10_4,user_10_4,battery,11.9,6.3,0.95,0.57,0.1,0.9,11900.0,1,3
battery_10_5,user_10_5,battery,10.8,5.3,0.93,0.52,0.1,0.9,10800.0,1,3
battery_10_6,user_10_6,battery,8.4,4.5,0.95,0.56,0.1,0.9,8400.0,1,3
battery_10_7,user_10_7,battery,10.9,5.5,0.95,0.6,0.1,0.9,10900.0,1,3
battery_10_8,user_10_8,battery,10.9,5.3,0.95,0.53,0.1,0.9,10900.0,1,3
battery_10_9,user_10_9,battery,10.6,5.3,0.96,0.57,0.1,0.9,10600.0,1,3
battery_1_2,user_1_2,battery,10.7,5.9,0.95,0.52,0.1,0.9,10700.0,1,3
battery_1_3,user_1_3,battery,8.9,4.4,0.94,0.54,0.1,0.9,8900.0,1,3
battery_1_4,user_1_4,battery,9.8,4.8,0.94,0.55,0.1,0.9,9800.0,1,3
battery_1_5,user_1_5,battery,11.1,5.6,0.93,0.52,0.1,0.9,11100.0,1,3
battery_1_6,user_1_6,battery,10.2,5.5,0.93,0.58,0.1,0.9,10200.0,1,3
battery_2_2,user_2_2,battery,10.1,5.0,0.95,0.59,0.1,0.9,10100.0,1,3
battery_2_3,user_2_3,battery,9.9,4.9,0.95,0.59,0.1,0.9,9900.0,1,3
battery_2_4,user_2_4,battery,10.5,5.3,0.95,0.55,0.1,0.9,10500.0,1,3
battery_2_5,user_2_5,battery,8.6,4.2,0.94,0.6,0.1,0.9,8600.0,1,3
battery_2_6,user_2_6,battery,10.6,5.4,0.93,0.56,0.1,0.9,10600.0,1,3
battery_2_7,user_2_7,battery,11.6,5.8,0.93,0.54,0.1,0.9,11600.0,1,3
battery_2_8,user_2_8,battery,11.9,5.5,0.96,0.51,0.1,0.9,11900.0,1,3
battery_2_9,user_2_9,battery,10.3,5.2,0.95,0.59,0.1,0.9,10300.0,1,3
battery_3_1,user_3_1,battery,8.4,4.4,0.95,0.55,0.1,0.9,8400.0,1,3
battery_3_2,user_3_2,battery,9.8,5.0,0.93,0.53,0.1,0.9,9800.0,1,3
battery_3_3,user_3_3,battery,9.0,4.2,0.96,0.55,0.1,0.9,9000.0,1,3
battery_3_4,user_3_4,battery,8.5,4.3,0.94,0.53,0.1,0.9,8500.0,1,3
battery_3_5,user_3_5,battery,9.3,4.5,0.94,0.5,0.1,0.9,9300.0,1,3
battery_3_6,user_3_6,battery,10.2,4.9,0.93,0.59,0.1,0.9,10200.0,1,3
battery_4_1,user_4_1,battery,11.5,5.9,0.95,0.53,0.1,0.9,11500.0,1,3
battery_4_11,user_4_11,battery,8.8,4.4,0.96,0.58,0.1,0.9,8800.0,1,3
battery_4_2,user_4_2,battery,10.6,5.4,0.93,0.51,0.1,0.9,10600.0,1,3
battery_4_4,user_4_4,battery,8.7,4.3,0.94,0.59,0.1,0.9,8700.0,1,3
battery_4_5,user_4_5,battery,11.8,5.6,0.94,0.59,0.1,0.9,11800.0,1,3
battery_4_6,user_4_6,battery,9.3,4.4,0.95,0.56,0.1,0.9,9300.0,1,3
battery_4_7,user_4_7,battery,10.1,4.9,0.95,0.55,0.1,0.9,10100.0,1,3
battery_4_8,user_4_8,battery,10.1,4.9,0.96,0.55,0.1,0.9,10100.0,1,3
battery_4_9,user_4_9,battery,8.9,4.6,0.96,0.58,0.1,0.9,8900.0,1,3
battery_5_3,user_5_3,battery,10.8,5.7,0.94,0.55,0.1,0.9,10800.0,1,3
battery_5_4,user_5_4,battery,8.5,4.2,0.95,0.57,0.1,0.9,8500.0,1,3
battery_5_5,user_5_5,battery,10.0,5.2,0.93,0.54,0.1,0.9,10000.0,1,3
battery_5_6,user_5_6,battery,8.6,4.0,0.96,0.53,0.1,0.9,8600.0,1,3
battery_5_7,user_5_7,battery,9.8,5.1,0.94,0.54,0.1,0.9,9800.0,1,3
battery_5_8,user_5_8,battery,11.5,5.3,0.96,0.58,0.1,0.9,11500.0,1,3
battery_6_1,user_6_1,battery,9.1,5.0,0.95,0.52,0.1,0.9,9100.0,1,3
