# uncertainty energy system data file
# purpose: define the uncertainty parameters and probability distribution of photovoltaic generation and load demand
# update frequency: updated daily according to the prediction model
# data description:
# - time_step: time step (one hour per time step)
# - probability_type: probability distribution type
# - parameters: distribution parameters
# - default_value: default energy value (kW)
# - min_value: minimum possible value (kW)
# - max_value: maximum possible value (kW)
# - confidence: confidence requirement

time_step,probability_type,parameters,default_value,min_value,max_value,confidence,energy_type,description
00:00,normal,mean=0;std=0,0,0,0,0.95,photovoltaic_generation,no generation at night
01:00,normal,mean=0;std=0,0,0,0,0.95,photovoltaic_generation,no generation at night
02:00,normal,mean=0;std=0,0,0,0,0.95,photovoltaic_generation,no generation at night
03:00,normal,mean=0;std=0,0,0,0,0.95,photovoltaic_generation,no generation at night
04:00,normal,mean=0;std=0,0,0,0,0.95,photovoltaic_generation,no generation at night
05:00,normal,mean=0;std=0,0,0,0,0.95,photovoltaic_generation,no generation at night
06:00,normal,mean=50;std=15,50,0,100,0.95,photovoltaic_generation,early sunrise
07:00,normal,mean=150;std=30,150,50,250,0.95,photovoltaic_generation,morning generation
08:00,normal,mean=250;std=40,250,100,400,0.95,photovoltaic_generation,morning generation
09:00,normal,mean=350;std=50,350,200,500,0.95,photovoltaic_generation,peak generation
10:00,normal,mean=400;std=60,400,250,550,0.95,photovoltaic_generation,peak generation
11:00,normal,mean=420;std=60,420,250,580,0.95,photovoltaic_generation,peak generation
12:00,normal,mean=400;std=60,400,250,550,0.95,photovoltaic_generation,peak generation
13:00,normal,mean=350;std=50,350,200,500,0.95,photovoltaic_generation,afternoon generation
14:00,normal,mean=300;std=45,300,150,450,0.95,photovoltaic_generation,afternoon generation
15:00,normal,mean=250;std=40,250,100,400,0.95,photovoltaic_generation,afternoon generation
16:00,normal,mean=150;std=30,150,50,250,0.95,photovoltaic_generation,sunset generation
17:00,normal,mean=50;std=15,50,0,100,0.95,photovoltaic_generation,sunset generation
18:00,normal,mean=0;std=0,0,0,0,0.95,photovoltaic_generation,no generation at night
19:00,normal,mean=0;std=0,0,0,0,0.95,photovoltaic_generation,no generation at night
20:00,normal,mean=0;std=0,0,0,0,0.95,photovoltaic_generation,no generation at night
21:00,normal,mean=0;std=0,0,0,0,0.95,photovoltaic_generation,no generation at night
22:00,normal,mean=0;std=0,0,0,0,0.95,photovoltaic_generation,no generation at night
23:00,normal,mean=0;std=0,0,0,0,0.95,photovoltaic_generation,no generation at night

time_step,probability_type,parameters,default_value,min_value,max_value,confidence,energy_type,description
00:00,normal,mean=150;std=20,150,100,200,0.90,load_demand,low load demand at night
01:00,normal,mean=120;std=15,120,80,160,0.90,load_demand,low load demand at night
02:00,normal,mean=100;std=15,100,70,130,0.90,load_demand,low load demand at night
03:00,normal,mean=100;std=15,100,70,130,0.90,load_demand,low load demand at night
04:00,normal,mean=120;std=20,120,80,160,0.90,load_demand,early morning load demand
05:00,normal,mean=180;std=30,180,120,240,0.90,load_demand,morning load demand
06:00,normal,mean=250;std=40,250,170,330,0.90,load_demand,morning load demand
07:00,normal,mean=300;std=45,300,210,390,0.90,load_demand,morning load demand
08:00,normal,mean=280;std=40,280,200,360,0.90,load_demand,morning load demand
09:00,normal,mean=260;std=35,260,190,330,0.90,load_demand,morning load demand
10:00,normal,mean=250;std=35,250,180,320,0.90,load_demand,morning load demand
11:00,normal,mean=270;std=40,270,190,350,0.90,load_demand,morning load demand
12:00,normal,mean=300;std=45,300,210,390,0.90,load_demand,morning load demand
13:00,normal,mean=280;std=40,280,200,360,0.90,load_demand,morning load demand
14:00,normal,mean=260;std=35,260,190,330,0.90,load_demand,morning load demand
15:00,normal,mean=250;std=35,250,180,320,0.90,load_demand,morning load demand
16:00,normal,mean=270;std=40,270,190,350,0.90,load_demand,morning load demand
17:00,normal,mean=350;std=50,350,250,450,0.90,load_demand,morning load demand
18:00,normal,mean=400;std=60,400,280,520,0.90,load_demand,morning load demand
19:00,normal,mean=380;std=55,380,270,490,0.90,load_demand,morning load demand
20:00,normal,mean=350;std=50,350,250,450,0.90,load_demand,morning load demand
21:00,normal,mean=300;std=45,300,210,390,0.90,load_demand,morning load demand
22:00,normal,mean=250;std=35,250,180,320,0.90,load_demand,morning load demand
23:00,normal,mean=180;std=25,180,130,230,0.90,load_demand,morning load demand

# additional notes:
# 1. probability_type (probability distribution type):
#    - normal: normal distribution, suitable for most load prediction and photovoltaic generation prediction
#    - parameter format: mean=mean;std=standard deviation
# 2. photovoltaic generation characteristics:
#    - no generation at night
#    - generation varies with the sun's position, forming a bell curve
#    - maximum generation during the middle of the day
#    - weather impact is reflected by the standard deviation
# 3. load demand characteristics:
#    - two peaks of electricity demand in the morning and evening
#    - nighttime is the lowest electricity demand
#    - relatively stable during working hours
#    - weekend and holiday modes need to be considered separately
# 4. confidence (confidence):
#    - photovoltaic generation: 0.95 (95% confidence)
#    - load demand: 0.90 (90% confidence)
# 5. numerical unit:
#    - all power values are in kW
#    - time step is 1 hour
